"Gene_ID","Gene_name","Fourier_score","P_value","FDR"
"YGR178C","PBP1",1.19348694112105,0.91622,0.938894555453712
"YGR179C","OKP1",8.258849735527,0.00023,0.00301100702576112
"YGR180C","RNR4",4.34165510049783,0.27985,0.433674307095344
"YGR181W","TIM13",3.65587257810974,0.40537,0.545230069761848
"YGR183C","QCR9",8.7198768674738,0.00024,0.00308413793103448
"YGR184C","UBR1",6.47657712646372,0.01138,0.0447357243319269
"YGR185C","TYS1",5.04592949597641,0.16167,0.302556176765986
"YGR186W","TFG1",5.6685164748186,0.08873,0.199597867203219
"YGR187C","HGH1",2.40641875705865,0.68035,0.762920060180542
"YGR188C","BUB1",7.19821204632549,0.00529,0.0253394173093402
"YGR189C","CRH1",7.04664173367779,0.01308,0.0493035738368173
"YGR191W","HIP1",4.58891063289472,0.23169,0.383586230381996
"YGR192C","TDH3",0.942855696533887,0.97563,0.981327617848147
"YGR193C","PDX1",4.12984309757921,0.31073,0.464518390804598
"YGR194C","XKS1",6.08762407369553,0.04345,0.11941273352999
"YGR195W","SKI6",4.7609501025211,0.20275,0.353405830994699
"YGR196C","FYV8",5.35255502630469,0.11593,0.240641923505384
"YGR197C","SNG1",4.44778526003291,0.25483,0.408634452094091
"YGR198W","YPP1",5.2571527476422,0.11127,0.233483220720721
"YGR199W","PMT6",8.9193043728051,3e-05,0.00106815286624204
"YGR200C","ELP2",2.86859469254322,0.57617,0.682152837780602
"YGR201C","YGR201C",5.18897048081884,0.14335,0.280184090909091
"YGR203W","YCH1",2.03863850557795,0.76502,0.825571776061776
"YGR204W","ADE3",3.58724034132951,0.42604,0.562618379399953
"YGR205W","YGR205W",7.54202041939286,0.00328,0.0182258449304175
"YGR206W","MVB12",7.45057747797356,0.00254,0.0150888416578108
"YGR207C","YGR207C",4.85857497663899,0.19093,0.339255785123967
"YGR208W","SER2",6.8270818116722,0.01545,0.0556478737113402
"YGR209C","TRX2",4.32225550087022,0.29092,0.445347891566265
"YGR210C","YGR210C",3.58763114682819,0.42265,0.559728381900024
"YGR211W","ZPR1",4.6171613724527,0.22652,0.377645929018789
"YGR212W","SLI1",5.3813715000431,0.12257,0.251714290962528
"YGR213C","RTA1",3.29069592048006,0.50691,0.627324972326766
"YGR214W","RPS0A",3.93569677809681,0.35757,0.504624160565514
"YGR215W","RSM27",6.34280290261394,0.01859,0.0636363135333742
"YGR216C","GPI1",4.02201165170409,0.33947,0.48891620298815
"YGR217W","CCH1",5.79440054537937,0.08298,0.191327835051546
"YGR218W","CRM1",4.73576897163302,0.20693,0.357324953675108
"YGR220C","MRPL9",9.14182553154828,1e-05,0.000508181818181818
"YGR222W","PET54",8.34615229736197,0.00079,0.00668093797276853
"YGR223C","HSV2",7.90449089662198,0.00169,0.0113546875
"YGR225W","AMA1",7.49628288076862,0.00328,0.0182258449304175
"YGR227W","DIE2",8.66831560489074,0.00026,0.00325145413870246
"YGR229C","SMI1",5.80113842117542,0.07615,0.179601138279933
"YGR230W","BNS1",7.22359098956769,0.00816,0.0348096798780488
"YGR231C","PHB2",5.66951885572597,0.08559,0.19528493877551
"YGR232W","NAS6",5.8383341578784,0.07458,0.176720711562897
"YGR233C","PHO81",2.6838664760182,0.62022,0.717036559139785
"YGR234W","YHB1",6.4405189256333,0.04027,0.113006676706827
"YGR235C","YGR235C",7.45184432014595,0.00616,0.0283410699588477
"YGR237C","YGR237C",7.89571209075892,0.00325,0.0181131605184447
"YGR238C","KEL2",9.54455848547962,0,0
"YGR239C","PEX21",6.93330270373769,0.01946,0.0656496077248039
"YGR240C","PFK1",7.42736777027004,0.00604,0.0280195850622407
"YGR241C","YAP1802",2.22805438162493,0.74909,0.813187611650485
"YGR243W","FMP43",7.75736984303058,0.00083,0.00693527653213752
"YGR244C","LSC2",5.15530926633789,0.12672,0.257493565976009
